text,class,topic
"This is the first ""frustration for the sake of catharsis"" game I've ever played and it was... interesting.",0,
"Definitely not my cup of tea most of the time, but it seems to be a well-put-together example of the genre.",0,
"The levels seemed inventive; the humor, while low-grade, was decent; and the number of secrets and challenges seemed well-balanced to provide a reasonable amount of engagement without overstaying its welcome.",1,humor
"If challenging platformers are your thing, this will be worth your time and money - especially on sale.",1,price
"well actually no, i dont.. 
its a great game!",0,
its pretty fun for its price and surprises you with various rooms/minigames!,1,price
"also there are a lot nice homages to other games like undertale or scps :D.
its definetly worth its price.",1,price
I Enjoy This Game 8.5/10,0,
very challengeing and fun,1,balance
"I tried to like this game, I really did, but I failed miserably.",0,
"It's a relatively decent survival horror experience where the bullets are low and enemy count is high, but later in the game things get unbearable.",1,atmosphere
"The enemies respawn while the bullets do not, so it's entirely possible that after a while you will find yourself with no ammo and no means to fight back.",-1,gameplay
"Ahh, but you can run and hide!",0,
"Yes, but eventually there is a mob that always knows where you are, and that cannot be killed by normal means.",-1,gameplay
"Also if you fail to progress in given time you get a random disadvantage, either you drop a random loot once in a while or you cannot run, or something else.",-1,gameplay
"I ended halfway or 2/3 into the game, unable to run, with dwindling ammo, with respawning unkillable monster that always knows where I am.",-1,gameplay
"For a couple of hours I tried to walk slowly among enemies to next save point (only a couple of them throughout the whole game), I memorized the way through 4 different locations, each one with 2-3 levels, but finally after getting killed for the nth time I gave up.",-1,gameplay
"It's not that the game is hard, I could live with that, but it's just thoroughly unfair.",-1,gameplay
"If you like challenge, and frustration, you might want to give it a try, otherwise steer clear.",-1,gameplay
I can't recommend this game.,0,
There are too many bugs.,-1,bugs
There are some that make it so that you cannot progress through the game.,-1,bugs
One of the bugs that I found was when I was supposed to fight the fireman.,-1,bugs
He does not spawn in; Instead the first boss spawns in (security guard/cop).,0,
"Because he spawns in, it makes it impossible to beat him in the room that he spawns in.",-1,gameplay
A good game with an intriguing story.,1,narrative
Interesting gameplay with craft and stealth.,1,gameplay
TLDR: It is hardcore and at first interesting but this game isn't really fun to play after some time.,1,balance
Still I finished it and played for 30h.,0,
So I guess it is thumbs up.,0,
I tried to like this game and it has it's good sides.,0,
"Nice atmosphere and ok story, enjoyable music, hardcore rogue-like gameplay.",1,atmosphere
Bosses fights are nice too.,1,gameplay
But it has too much annoying things inside too.,0,
"Knives disappear from fast use slot, and you can't use them to defend yourself in melee.",0,
Character freezes in one place and etc.,-1,bugs
It isn't full of bugs.,1,bugs
But minor problems are frustrating and add to irritation how unfairly game becomes on later stages.,-1,bugs
"In most places there are too many monsters and they respawn, You just can't get benefit from stronger weapon and so - you don't feel progression.",-1,gameplay
Your next quest destination is never articulated strong enough too (or is bugged?),-1,bugs
anyway in Act 5 I didn't understand what i need to do at all and just run around endless maze of locations with same respawnable monsters.,-1,gameplay
Even bugs are so many but I love game play and crazy story likes Skyhill.,-1,bugs
I think I've spent times here to last boss.,0,
But cannot get in to the room at Cinema.,0,
Hope someone see my post here,0,
"Great atmosphere, reminded me alien isolation but in a another setting.",1,atmosphere
Great soundtrack as well!,1,sound
I really wanted to like this game because I was a massive fan of the first game.,0,
But the game breaking bugs and lack of polish ruined the experience for me.,-1,bugs
too many bugs in this game.,-1,bugs
I like the atmosphere and vibe of the game.,1,atmosphere
"It's mystical and mysterious, with great sound design and visual.",1,atmosphere
The gameplay is mostly stealth.,1,gameplay
The story is gradually revealed with the notes.,1,narrative
"I enjoyed crafting system on the go (No need a workbench in the main room as in original Skyhill)
I can feel some influence of Resident Evil, Stranger Things and The Last of Us ;)
So I keep playing and can definitely recommend this game to everyone who loves steals horrors with a deep story.",1,atmosphere
I hope there're several Endings in the game as in the original Skyhill,0,
Great little game to get you the jitters.,1,playtime
"Excellent atmosphere, superb sound design, and an intriguing story.",1,atmosphere
Giving this a positive in advance since i REALLY trust in the future of this game.,0,
"It has a lot of potential to become a unique survival horror, so this will probably remain positive in the future if the devs do everything right.",0,
TL;DR: The game has lots of bugs ranging from very minor to game-breaking.,-1,bugs
"Dying in the game means nothing, just a slight time inconvenience.",-1,gameplay
"The devs are not active on the steam forums, got no replies from anyone at all.",0,
Lots of potential if the devs follow the implement-more-difficulty-options route and actually start replying to people.,0,
"CONS:
1) <DEVS ACTIVELY PATCHING THE GAME> The game right now is a complete bugfest.",-1,bugs
Apart from crashes i encountered a game-breaking bug twice which meant a complete restart of the game.,-1,bugs
2) Death means NOTHING here.,-1,gameplay
It's great when the game's not buggy and you have a permadeath mode or timer-runs-out-you die mode.,1,bugs
But now it's just for frustration when you lose your save.,0,
5) The obelisk storage (like a saveroom with item box in Resident Evil) take years to scroll through with mouse wheel.,0,
Just make a big storage window or a faster scroll.,0,
Both would be better.,0,
"PROS:
1) I enjoy the visual style.",1,art
2) The game is big with a semi-open world.,0,
You can go to places you want or come back and open previousy inaccessible areas.,0,
"3) Love the music and sound effects (when they're present, looking at you Old Pal xD)",1,puzzles
4) Good English voiceover and good item descriptions/lore texts.,1,narrative
5) Some interesting puzzles/situations.,1,puzzles
6) Item management and crafting!,1,gameplay
REALLY waited for this game.,0,
Insta-bought the Supporter Edition.,0,
All-in-all this has HUGE potential to become a true survival horror with fear of death and difficulty options OR a buggy walking simulator where death doesn't matter at all.,0,
Really hope it's the former.,0,
I have enjoyed the game a lot so far.,0,
The atmosphere makes a very good combination with the art style and the sound design.,1,atmosphere
"And I like the crafting system a lot, it allowed me to choose my playstyle according to the situations.",1,gameplay
The narrative aspect of the game keeps pushing me for the progression and I am very interested by the unfolding of it.,1,narrative
"Nice atmosphere, story and craft.",1,atmosphere
"I faced some bugs, but it's just released, so I hope they will be fixed soon.",1,bugs
For this price pretty solid game.,1,price
Interesting game with a lot of character and quirks to it.,1,gameplay
"Great fun playing in a dark room, with headphones on.",1,sound
"Music helps you ""sink into"" the atmosphere.",1,sound
Truly a fun interesting game story wise!,1,narrative
"The atmosphere is creepy and tense at times, the files you find are confusing and interesting, and the world slowly opens up for you as you progress.",1,atmosphere
"There are some bugs on release, ones that are being fixed by the developers as we speak so don't judge it too harshly.",1,bugs
For an Indie Dev team this is actually rather nice.,0,
"I would sincerely recommend this to people, flawed as it right now.",0,
Can't say that enough.,0,
Fun game all around.,1,fun
"While being an initial release from an indie developer, it's not with out its handful of quirks and bugs.",-1,bugs
Overall the experience has been an enjoyable one and still have much left to do in the game.,0,
There's a lot of lore in the collectibles that helps with the world building.,0,
This plays very much like an isometric Resident Evil style game.,0,
I definitely recommend to this anyone interested in playing.,0,
"Excellent atmosphere, interesting gameplay.",1,atmosphere
Controls require some time to get used to however the game itself is extremely good.,0,
This review is based on the fact the developer has been extremely active with it's community.,0,
It's  a very fun stealth game that needed some fixes upon release.,1,fun
"Pros:
-Excellent developer who interacts with their community and listens",0,
-great stealth aspect,1,gameplay
-Puzzle like elements that are appealing,1,puzzles
-Story is appealing,1,narrative
-Game Breaking bugs that are being fixed quickly,-1,bugs
"-Not a fan of keyboard controls, would rather use controller",-1,controls
Probably I had no critical technical issues.,1,bugs
"As for gameplay, I didn't understand melee combat very fast.",-1,gameplay
Simple Vsync option would be welcomed.,-1,optimization
I don't want to stress-test my GPU.,-1,optimization
"Maybe someone will like the plot and lore behind it (which exists and evolves), but I'm at start, so not be able to judge it.",-1,narrative
Anyway the first impressions about the game are overall positive.,0,
"I recommend it for those, who likes puzzles, but doesn't afraid to get scared even of a simple mostern who appears in fronr of you from the darkness.",1,puzzles
the devs asked me to write a review mid game so I wrote this,0,
"I played the game over 4 hours and when I reset game I lost my save because of this bug:
https://youtu.be/HK0eaUQanaA",-1,bugs
"I have been waiting for this new bug bundle, spend $18 now and you can even get a free game.",0,
Resource manager about angry AI who controls a human farm.,0,
"You need to produce power, food and humans to survive time race.",0,
Black humor and lots of easter eggs.,1,humor
"Fun, but too easy and way too short.",-1,playtime
Ended survival mod at day 59.,0,
"I even depleted all events pool, so nothing was happening from day 55 or so.",-1,fun
After 25 day game transforms from time manager to clicker.,-1,fun
"You just sit and fill bioreactor as fast as it is possible to click (with portal mod, of course).",-1,fun
We need more upgrades and more events/modificators.,0,
Storyline is kinda short too.,-1,playtime
"Would be interesting to see an  expeditions mechanics, so you could send pips to find something in wastes (like Fallout Shelter).",0,
If this was a mobile game that sold for 2 bucks you'd sell a million copies.,0,
Fun to play and with slightly more depth to it than a mini-game and strong replayability and humor.,1,gameplay
Your task is to generate power by forcing humans into a hamster wheel.,0,
"They might need food and rest, but that's not a great concern.",0,
"Energy needs to be spent on upgrades such as the hamster wheel, or waldos that move humans into the wheel.",0,
"Unfortunately this makes humans important, and brings the whole ""brutal AI slave lord"" idea into question.",0,
The game is easy to learn but hard to master.,1,fun
Harder still is to avoid terrible things happening and ruining everything.,0,
Usually this happens through random events or bad judgement.,-1,balance
"The events are mostly awful for you, with outcomes ranging from ""Catastrophic"" to ""Catastrophic with a hostile boarding party that managed to bypas the impenetrable shield.",0,
And they're all Mantis.,0,
"And owe 17,323 in taxes.""",0,
"Some significantly alter gameplay for the rest of the run, such as disabling food or altering temperatures which affects human fatigue.",0,
"The dialogues are fun and take the edge of the pain, but there will be pain.",1,fun
Balancing the need to generate energy and generate humans that will generate the energy is difficult enough without everything from inviting eldritch abominations to dumping TVs into vats of chemicals turning out to be really BAD ideas.,-1,balance
"When the run inevitably goes belly up, there's a strong impulse to try again.",1,gameplay
"This is worth the price while it's on sale, it's totally a fun thing to play for an afternoon.",1,price
The problem is with how this game is balanced.,-1,balance
"It is so close to being something really amazing and intriguing, but the game is balanced so that unless you get really beneficial random events in your favour, and know exactly what response to those random events gets you what you need, you are not going to succeed.",-1,balance
Are harsh games fun?,0,
I found it a frustrating grind of trying to work out the exact 'optimal' set of actions to 'solve' the puzzle of the first campaign.,-1,puzzles
"There's not much actual gameplay to this beyond resource management, and honestly the RNG is completely intolerable - a set of good perks can set you up for the later game, but if you get a bad perk early on you might as well just restart.",-1,balance
"The game says that it has ""rogue-lite elements"" but honestly... it really doesn't, beyond permadeath.",-1,gameplay
"Most roguelikes/lites these days have some meta-progression so that each loss is meaningful, but this one doesn't, at all.",-1,gameplay
"There's no skill beyond knowing when to upgrade what or where to put your humans, and there's absolutely no meta-upgrades, which means that there's no replayability or reason for the endless mode.",-1,gameplay
"The game is pretty fun at first with all the silly stuff that happens, worm holes opening, pole dancers getting squished, teleportation, etc.",1,fun
The fun ends pretty quickly since most of these random events generally end with you losing power or getting a major handicap.,-1,fun
"The worst part of the game is that your taxes at the end of each increment increase quickly, you're simultaneously hindered by your max power, which doesn't increase fast enough (why is there a cap anyway?).",-1,gameplay
"this is extremely frustrating because if you play really really well and get good RNG, you're still held back by the game.",-1,balance
It's a damned if you do damned if you don't situation.,0,
- Simple fun graphics,1,art
- Clean UI,1,UI
- Creative and fun events,1,fun
- RNG makes it so some run throughs are a complete waste of time.,-1,balance
"- Max power limit hurts players that get lucky
- Power taxes rise too quickly

Overall I didn't enjoy my time playing.",-1,gameplay
"The first hour was fun, but then all the bad really gets in the way.",-1,gameplay
I bought it for $3 on sale and I still regret it.,1,price
A game with very novel idea and a ton of engineering jokes.,1,humor
"But this is also one of the games that punishes you very harshly over tiny mistakes you made, and once you fail, you have to start over from the very beginning, which is extremely frustrating.",-1,gameplay
"I feel less like a human-enslaving AI overlord, but more like a human trapped to stop his supposedly human-enslaving AI overlord from becoming a barbecue stand by his puny human slaves.",0,
while i do find the game funny and interesting it is far too easy to get a single bad perk or have something happen that will eventually kill the game.,1,fun
i say this after having not even beaten the first campaign.,0,
getting to day 10-20 constantly and just having the game give me a random.,0,
"""shits going down"" and then holding on for a few more days before i just lose.",0,
"while i can understand that sometimes this can be interesting, just getting a random fuck you from the game over and over again and not gaining anything from it is just tedious.",0,
its funny its interesting but its just far too tedious without any payoff for me to recommend it to anyone.,1,fun
there is also the recurring events that can be good or bad and the game will only show you what youve chosen before.,0,
if you cant remember every single permutation that can arise from these choices it can get equally tedious.,0,
"Could definitely be satisfying for some, but hidden under what seems like a resource strategy sim lies more of a luck based memory/puzzle game.",0,
"Even with a perfect memory for which choices lead to the best outcomes, without getting lucky with the right set of positive events, most runs fee doomed before they begin.",0,
TL;DR: Fun for a while until you figure out the game relies a lot less on strategic planning than it does on what RNG you get.,-1,balance
[h1] The RNG has poisoned my soul [/h1],-1,balance
Almost every achievement requires a luck streak in order to get and i'm not really about that stuff.,-1,balance
"The problem is no necessarily the random chance you get to obtain modifiers, rather it takes a lot of time to get into de mid-game, but then get a negative perk that sabotages the rest of the experience.",-1,balance
"It's not about strategy or being good, it's about luck.",-1,balance
"Buy it on sale, play it a few times, find jokes a little funny,  find the randomness annoying, find the jokes repetitive, get bored, give it another chance, get bored again, never play it again.",-1,humor
-Events that are humorous and keep the game feeling fresh,1,fun
-Games are often at times decided on luck rather than skill,-1,balance
"It doesn't require a ton of focus so it's great for listening to podcasts, music, or just chatting with some friends.",1,relaxing
I do feel that the game does get repetitive and it's hard to keep playing after a long session because losing can get frustrating because you will have to completely restart after you lose.,-1,gameplay
I also feel that there's needs to be more things to do that involve strategy and less RNG and knowing what each thing does.,-1,balance
A lot (not all) of the game is around getting good events and knowing which choice to choose  because these events can be the difference between winning easily or losing horribly.,-1,balance
"On the other hand though, they also keep the game fresh and interesting and adds a benefit to those who have gone through all the questions to find the best answers.",1,gameplay
I think they could simply add something else to balance these events out so players don't feel cheated whenever they get a bad event.,-1,balance
"At the time of this review the second campaign came out with the addition of the ""raid"" mechanic and without actually being able to try it out yet, I can already say the devs are heading in the right direction withing adding new things to keep the game fresh, but I'm also concerned this will just bring more random outcomes into the game 

FINAL VERDICT:
If you're just looking for a simple management game or something to do while listen to music, I would recommend this game.",1,gameplay
It's simple and doesn't require a ton concentration and doesn't require a lot of time either.,0,
Anyone can simply open the game for maybe 5-10 minutes and just play a quick game.,0,
"On the other hand, if you're looking for a more complex game that requires a lot of thought put into it, where there's tons of choices to be made about how to do one thing to the next, then this probably isn't the game for you, YET.",0,
"The reason why I say yet is because even thought at the moment the game is extremely simple, it could easily become more complex as the devs add more and more to the game.",0,
I would suggest waiting a while until they add more to fit the more complex play style,0,
Hardcore rogue-like strategy for a couple of evenings.,1,balance
"Overpriced,  but the ability to throw two-headed Siamese twins by Cthulhu's tentacles into the biorector is definitely worth it.",-1,price
"Cute Game, but its very short, and there is pretty much only one tactic to max-min everything.",-1,playtime
"There are a few modifiers, and they're interesting but there isn't much to this game.",0,
Managed to pass it twice in 8 hours.,-1,playtime
"Overall its a fun little game, but very very repetitive.",1,fun
Feedback to the developer:,0,
Make the dialog tree results more random.,-1,narrative
"Less ""gating"" of facility levels or more methods of increasing your maximum battery storage (I know there is at least one.",0,
But more would be better.),0,
Managed to pass it twice in 8 hours: the game needs more content.,-1,playtime
"Regarding the campiagn, I would include a world map for the player to send out humans to and explore the world.",0,
"Regarding the campaign, I would allow for more options and choices of what the ultimate goal should be.",0,
"Regarding the campaign, I would try to make an an ending for not killing a single human using the vat (right-most facility).",0,
"Very interesting graphics, original gameplay, with (sometimes) funny stories.",1,gameplay
"Quite simple to get the play strategy(mathematically), but hard to pass further than few days(levels) with these random plot twists that ruin the progress.",-1,balance
"Anyway, even then it catches your focus  completely for some time.",0,
"Nice indie game, would recomment to play.",0,
Can captivate for 10-15 hours easily.,1,playtime
Sometimes can be laggy on weak pc.,-1,optimization
Hope to see this game on mobile.,0,
"It's got potential, and I want to beat it, but it's exhausting.",0,
"First off, it's hard.",1,balance
"It's permadeath, but there's no achievement perks or anything, so a failed run gives you experience on what option to click in the random events, and that's it.",0,
"Those random events are brutal AF, and considering the thin margins the difficulty level runs on, some of them make the game outright a certain loss.",-1,balance
"It's permadeath, difficult, time consuming, repetitive, and attention demanding.",-1,gameplay
One of those elements has to go for this to be a game I'd recommend.,0,
"Great game with dark humor and subtle flawour of FTL )
Start is rather relaxing but after few levels you discover yourself juggling hundrets puny humans and dealing with bunch of really strange problems (like giant mutant baby eating your humans or smth)",1,humor
Graphics is awesome!,1,art
"Somewhat in the direction of FTL, but in a way that you only have to take care of four things in order to progress the game.",0,
"I played Despotism 3k on the mobile too, but I find it to be more difficult with the tiny screen on my device and without the mouse.",0,
Therefor I bought this game on Steam instead and tried it out.,0,
"So far, the game utilizes heavily on the RNG events, whether if it's a good one, a bad one or a mixed one.",-1,balance
"If you don't plan things accordingly, then it's a game over.",0,
"I failed multiple times, mostly because of the bad events happening which caused decent amount of problems to my power supply.",0,
And the power supply on this game is crucial to your survival.,0,
"Each day, your power supply needs more juice in it, making it difficult to upgrade things as you progress on.",0,
The art/pixel style on this game is gorgeous and simplistic.,1,art
Events you choose also has an interesting outcome to your room.,0,
when the air gets hot and you see the humans (and you on the screen) start to produce sweat.,0,
Soundtracks are also nice to listen.,1,sound
"Each segment (of the campaign) makes the soundtrack get more intense as you progress further, but it gets repetitive very fast, so you'd have to lower the volume at some point.",0,
"Its a fun little game, but almost all the damn events seem to have set outcomes for each choice, the game actually lags as the game goes on and once and a while, occasionally eats inputs, and has infuriating bugs here and there.",-1,balance
One of those damn bugs just cost me the best run I have had up until now because the portal to the bioreactor just stopped working and any humans I had sent were stuck doing nothing.,-1,bugs
"Graphics: 8/10
 The graphics are timless pixel art and convey a lot of what is going on in the game through simplicity and with humor.",1,art
It's absolutely hilairous watching the little humans go at it in the breeding tube.,1,humor
But mostly it's just one screen and that's all you'll be seeing for the entirety of the game minus graphical updates depending on what you experience in any given play through.,0,
"Controls: 7/10
Pretty much just the mouse aside from spacebar to pause.",1,controls
It's not bad but I would have loved being able to queue things up during pause or hotkey shortcuts to adding/removing humans from certain stations OR just hotkeys for upgrading stations.,0,
"Music:5/10
It's pretty much back-ground noise level which isn't bad to listen to.",1,sound
"The sounds lend to the atmosphere and its pretty good but don't be surprised if by your 10th attempt, you're loading up your own music to listen to while you play.",1,sound
"Gameplay: 9.5/10
This is where Despotism shines the most I believe.",1,gameplay
"It is very challenging in its management of trying to control a large population of humans, keep your population up, keep them fed and producing enough energy that you can regularly upgrade the stations you need to upgrade to progress as smoothly as possible throughout the days.",1,balance
"The story for the game is entertaining, and the dialogue choices and options are humorous.",1,narrative
"Everything else aside, Gameplay Mechanics and Story/Dialogue are what kept me playing round after round of this game, no matter how salty I was when I'd get 7 days in and die because I upgraded at the wrong time.",1,narrative
"The only negative thing I can say about the gameplay is that it's possible to find a groove early on using just a handful of humans that can provide the power you need and once you hit that groove, there's very little incentive to keep leveling up past that especially when you're producing enough energy and humans that you can constantly sacrifice to the bioreactor to keep your power up.",0,
"On a last note, the random events at the end of each day keep the game fresh and the replayability high.",1,balance
"Overall Game Rating: 8/10
For the price tag of 8 bucks, and the high replayability and challenge of the game, this game is absolutely worth buying at full price and DEFINITELY worth buying at any discount during a sale or promotion.",1,price
"It's an absolutely wonderful little time sink of a game that also happens to be good if you wanna sink some real hours into it as well but prepared for a challenge, getting the hang of where things should be at any given time isn't easily mastered.",0,
"I clicked Yes on would i recommend this game, but it's not that black and white.",0,
It's hard even on the easiest setting.,-1,balance
